0	1
OR(OR(OR(qgrams(x.name,y.name)|0.0,AND(OR(cosine(x.streetName,y.streetName)|0.25,qgrams(x.name,y.name)|0.25)|0.0,soundex(x.streetName,y.streetName)|0.0)|0.25)|0.25,levenshtein(x.name,y.name)|0.0)|0.0,qgrams(x.streetName,y.streetName)|0.25)	a link will be generated whenever the names of the source and the target have a Qgrams similarity of 0% or the streetNames of the source and the target have a Cosine similarity of 25% or the names of the source and the target have a Qgrams similarity of 25% and the streetNames of the source and the target have a Soundex similarity of 0% or the names of the source and the target have a Levenshtein similarity of 0% or the streetNames of the source and the target have a Qgrams similarity of 25%
OR(OR(OR(trigrams(x.name,y.name)|0.0,AND(OR(cosine(x.movie,y.movie)|0.25,trigrams(x.name,y.name)|0.25)|0.0,soundex(x.movie,y.movie)|0.0)|0.25)|0.25,levenshtein(x.name,y.name)|0.0)|0.0,trigrams(x.movie,y.movie)|0.25)	a link will be discovered when the names of the source and the target have a Trigrams similarity of 0% or the movies of the source and the target have a Cosine similarity of 25% or the names of the source and the target have a Trigrams similarity of 25% and the movies of the source and the target have a Soundex similarity of 0% or the names of the source and the target have a Levenshtein similarity of 0% or the movies of the source and the target have a Trigrams similarity of 25%
AND(OR(levenshtein(x.firstName,y.director)|0.45,AND(OR(trigrams(x.director,y.director)|0.37,soundex(x.firstName,y.firstName)|0.45)|0.45,trigrams(x.firstName,y.director)|0.37)|0.45)|0.45,soundex(x.director,y.firstName)|0.37)	a link will be generated if the firstName of the source and the director of the target have a Levenshtein similarity of 45% or the directors of the source and the target have a Trigrams similarity of 37% or the firstNames of the source and the target have a Soundex similarity of 45% and the firstName of the source and the director of the target have a Trigrams similarity of 37% and the director of the source and the firstName of the target have a Soundex similarity of 37%
OR(OR(OR(ratcliff(x.title,y.title)|0.0,OR(OR(overlap(x.description,y.description)|0.25,jaccard(x.description,y.description)|0.25)|0.0,ratcliff(x.description,y.title)|0.0)|0.25)|0.25,overlap(x.description,y.title)|0.0)|0.0,ratcliff(x.title,y.description)|0.25)	a link will be generated if the titles of the source and the target have a Ratcliff similarity of 0% or the descriptions of the source and the target have an Overlap similarity or a Jaccard similarity of 25% or the description of the source and the title of the target have a Ratcliff similarity or an Overlap similarity of 0% or the title of the source and the description of the target have a Ratcliff similarity of 25%
AND(OR(cosine(x.givenName,y.director)|0.0,AND(OR(trigrams(x.givenName,y.director)|0.25,overlap(x.director,y.director)|0.0)|0.0,ratcliff(x.givenName,y.director)|0.25)|0.0)|0.0,trigrams(x.director,y.director)|0.25)	a link will be generated if the givenName of the source and the director of the target have a Cosine similarity of 0% or a Trigrams similarity of 25% or the directors of the source and the target have an Overlap similarity of 0% and the givenName of the source and the director of the target have a Ratcliff similarity of 25% and the directors of the source and the target have a Trigrams similarity of 25%
AND(AND(AND(trigrams(x.givenName,y.givenName)|0.45,AND(AND(jaccard(x.label,y.label)|0.37,trigrams(x.givenName,y.givenName)|0.37)|0.45,soundex(x.label,y.label)|0.45)|0.37)|0.37,levenshtein(x.givenName,y.givenName)|0.45)|0.45,trigrams(x.label,y.label)|0.37)	a link will be created if the givenNames of the source and the target have a Trigrams similarity of 45% and the labels of the source and the target have a Jaccard similarity of 37% and the givenNames of the source and the target have a Trigrams similarity of 37% and the labels of the source and the target have a Soundex similarity of 45% and the givenNames of the source and the target have a Levenshtein similarity of 45% and the labels of the source and the target have a Trigrams similarity of 37%
AND(AND(AND(trigrams(x.firstName,y.firstName)|0.0,AND(AND(jaccard(x.movie,y.movie)|0.37,trigrams(x.firstName,y.firstName)|0.37)|0.0,soundex(x.movie,y.movie)|0.0)|0.37)|0.37,jaroWinkler(x.firstName,y.firstName)|0.0)|0.0,trigrams(x.movie,y.movie)|0.37)	a link will be generated on the occasion thatthe firstNames of the source and the target have a Trigrams similarity of 0% and the movies of the source and the target have a Jaccard similarity of 37% and the firstNames of the source and the target have a Trigrams similarity of 37% and the movies of the source and the target have a Soundex similarity of 0% and the firstNames of the source and the target have a Jarowinkler similarity of 0% and the movies of the source and the target have a Trigrams similarity of 37%
AND(AND(jaccard(x.givenName,y.movie)|0.45,AND(AND(qgrams(x.givenName,y.movie)|0.37,mongeElkan(x.movie,y.movie)|0.45)|0.45,soundex(x.givenName,y.movie)|0.37)|0.45)|0.45,qgrams(x.movie,y.movie)|0.37)	a link will be generated if the givenName of the source and the movie of the target have a Jaccard similarity of 45% and a Qgrams similarity of 37% and the movies of the source and the target have a Mongeelkan similarity of 45% and the givenName of the source and the movie of the target have a Soundex similarity of 37% and the movies of the source and the target have a Qgrams similarity of 37%
OR(AND(cosine(x.title,y.director)|0.62,OR(AND(qgrams(x.title,y.director)|1.0,mongeElkan(x.director,y.director)|0.62)|0.62,soundex(x.title,y.director)|1.0)|0.62)|0.62,qgrams(x.director,y.director)|1.0)	a link will be generated if the title of the source and the director of the target have a Cosine similarity of 62% and a Qgrams similarity of 100% and the directors of the source and the target have a Mongeelkan similarity of 62% or the title of the source and the director of the target have a Soundex similarity of 100% or the directors of the source and the target have a Qgrams similarity of 100%
AND(AND(AND(trigrams(x.firstName,y.firstName)|0.45,OR(AND(jaccard(x.director,y.director)|0.25,trigrams(x.firstName,y.firstName)|0.25)|0.45,soundex(x.director,y.director)|0.45)|0.25)|0.25,mongeElkan(x.firstName,y.firstName)|0.45)|0.45,trigrams(x.director,y.director)|0.25)	a link will be generated  the firstNames of the source and the target have a Trigrams similarity of 45% and the directors of the source and the target have a Jaccard similarity of 25% and the firstNames of the source and the target have a Trigrams similarity of 25% or the directors of the source and the target have a Soundex similarity of 45% and the firstNames of the source and the target have a Mongeelkan similarity of 45% and the directors of the source and the target have a Trigrams similarity of 25%
OR(OR(OR(trigrams(x.title,y.title)|0.0,AND(OR(jaccard(x.authors,y.authors)|0.25,trigrams(x.title,y.title)|0.25)|0.0,ratcliff(x.authors,y.authors)|0.0)|0.25)|0.25,jaroWinkler(x.title,y.title)|0.0)|0.0,trigrams(x.authors,y.authors)|0.25)	a link will be generated supposing thatthe titles of the source and the target have a Trigrams similarity of 0% or the authors of the source and the target have a Jaccard similarity of 25% or the titles of the source and the target have a Trigrams similarity of 25% and the authors of the source and the target have a Ratcliff similarity of 0% or the titles of the source and the target have a Jarowinkler similarity of 0% or the authors of the source and the target have a Trigrams similarity of 25%
AND(AND(OR(soundex(x.name,y.name)|0.45,OR(AND(overlap(x.director,y.director)|0.25,jaccard(x.director,y.director)|0.25)|0.45,soundex(x.director,y.name)|0.45)|0.25)|0.25,overlap(x.director,y.name)|0.45)|0.45,soundex(x.name,y.director)|0.25)	a link will be generated with the condition thatthe names of the source and the target have a Soundex similarity of 45% and the directors of the source and the target have an Overlap similarity and a Jaccard similarity of 25% or the director of the source and the name of the target have a Soundex similarity and an Overlap similarity of 45% and the name of the source and the director of the target have a Soundex similarity of 25%
OR(OR(OR(qgrams(x.firstName,y.firstName)|0.62,AND(OR(jaccard(x.director,y.director)|0.25,qgrams(x.firstName,y.firstName)|0.25)|0.62,ratcliff(x.director,y.director)|0.62)|0.25)|0.25,mongeElkan(x.firstName,y.firstName)|0.62)|0.62,qgrams(x.director,y.director)|0.25)	a link will be generated on the occasion that the firstNames of the source and the target have a Qgrams similarity of 62% or the directors of the source and the target have a Jaccard similarity of 25% or the firstNames of the source and the target have a Qgrams similarity of 25% and the directors of the source and the target have a Ratclon the occasion thatf similarity of 62% or the firstNames of the source and the target have a Mongeelkan similarity of 62% or the directors of the source and the target have a Qgrams similarity of 25%
OR(OR(jaccard(x.givenName,y.label)|0.0,OR(OR(qgrams(x.givenName,y.label)|0.37,jaroWinkler(x.label,y.label)|0.0)|0.0,soundex(x.givenName,y.label)|0.37)|0.0)|0.0,qgrams(x.label,y.label)|0.37)	a link will be generated if the givenName of the source and the label of the target have a Jaccard similarity of 0% or a Qgrams similarity of 37% or the labels of the source and the target have a Jarowinkler similarity of 0% or the givenName of the source and the label of the target have a Soundex similarity of 37% or the labels of the source and the target have a Qgrams similarity of 37%
AND(AND(cosine(x.name,y.description)|0.0,AND(AND(qgrams(x.name,y.description)|1.0,jaroWinkler(x.description,y.description)|0.0)|0.0,soundex(x.name,y.description)|1.0)|0.0)|0.0,qgrams(x.description,y.description)|1.0)	a link will be generated if the name of the source and the description of the target have a Cosine similarity of 0% and a Qgrams similarity of 100% and the descriptions of the source and the target have a Jarowinkler similarity of 0% and the name of the source and the description of the target have a Soundex similarity of 100% and the descriptions of the source and the target have a Qgrams similarity of 100%
AND(AND(OR(soundex(x.name,y.name)|0.0,OR(AND(levenshtein(x.label,y.label)|0.25,jaccard(x.label,y.label)|0.25)|0.0,soundex(x.label,y.name)|0.0)|0.25)|0.25,levenshtein(x.label,y.name)|0.0)|0.0,soundex(x.name,y.label)|0.25)	a link will be generated on the occasion that the names of the source and the target have a Soundex similarity of 0% and the labels of the source and the target have a Levenshtein similarity and a Jaccard similarity of 25% or the label of the source and the name of the target have a Soundex similarity and a Levenshtein similarity of 0% and the name of the source and the label of the target have a Soundex similarity of 25%
OR(OR(OR(qgrams(x.title,y.title)|0.45,OR(OR(cosine(x.description,y.description)|1.0,qgrams(x.title,y.title)|1.0)|0.45,ratcliff(x.description,y.description)|0.45)|1.0)|1.0,overlap(x.title,y.title)|0.45)|0.45,qgrams(x.description,y.description)|1.0)	a link can be generated if the titles of the source and the target have a Qgrams similarity of 45% or the descriptions of the source and the target have a Cosine similarity of 100% or the titles of the source and the target have a Qgrams similarity of 100% or the descriptions of the source and the target have a Ratcliff similarity of 45% or the titles of the source and the target have an Overlap similarity of 45% or the descriptions of the source and the target have a Qgrams similarity of 100%
AND(AND(mongeElkan(x.name,y.label)|0.62,AND(AND(trigrams(x.label,y.label)|1.0,ratcliff(x.name,y.name)|0.62)|0.62,trigrams(x.name,y.label)|1.0)|0.62)|0.62,ratcliff(x.label,y.name)|1.0)	a link will be generated in case that the name of the source and the label of the target have a Mongeelkan similarity of 62% and the labels of the source and the target have a Trigrams similarity of 100% and the names of the source and the target have a Ratcliff similarity of 62% and the name of the source and the label of the target have a Trigrams similarity of 100% and the label of the source and the name of the target have a Ratcliff similarity of 100%
OR(OR(trigrams(x.title,y.title)|0.45,OR(OR(jaroWinkler(x.description,y.description)|0.25,cosine(x.title,y.title)|0.45)|0.45,trigrams(x.title,y.title)|0.25)|0.25)|0.45,jaroWinkler(x.title,y.title)|0.25)	a link will be created immediately upon the titles of the source and the target have a Trigrams similarity of 45% or the descriptions of the source and the target have a Jarowinkler similarity of 25% or the titles of the source and the target have a Cosine similarity of 45% or a Trigrams similarity or a Jarowinkler similarity of 25%
OR(AND(cosine(x.firstName,y.director)|0.62,OR(AND(qgrams(x.firstName,y.director)|1.0,mongeElkan(x.director,y.director)|0.62)|0.62,soundex(x.firstName,y.director)|1.0)|0.62)|0.62,qgrams(x.director,y.director)|1.0)	a link will be generated on the occasion that the firstName of the source and the director of the target have a Cosine similarity of 62% and a Qgrams similarity of 100% and the directors of the source and the target have a Mongeelkan similarity of 62% or the firstName of the source and the director of the target have a Soundex similarity of 100% or the directors of the source and the target have a Qgrams similarity of 100%
OR(OR(soundex(x.name,y.name)|0.45,OR(AND(mongeElkan(x.name,y.label)|1.0,cosine(x.name,y.name)|0.45)|0.45,soundex(x.name,y.name)|1.0)|1.0)|0.45,mongeElkan(x.name,y.name)|1.0)	a link will be generated with the condition thatthe names of the source and the target have a Soundex similarity of 45% and the name of the source and the label of the target have a Mongeelkan similarity of 100% and the names of the source and the target have a Cosine similarity of 45% or a Soundex similarity or a Mongeelkan similarity of 100%
AND(AND(jaroWinkler(x.givenName,y.givenName)|0.45,cosine(x.givenName,y.givenName)|0.37)|0.45,AND(jaroWinkler(x.streetName,y.streetName)|0.45,cosine(x.givenName,y.givenName)|0.37)|0.37)	a link will be generated if the givenNames of the source and the target have a Jarowinkler similarity of 45% and a Cosine similarity of 37% and the streetNames of the source and the target have a Jarowinkler similarity of 45% and the givenNames of the source and the target have a Cosine similarity of 37%
OR(OR(overlap(x.firstName,y.director)|0.0,OR(OR(trigrams(x.director,y.director)|0.37,soundex(x.firstName,y.firstName)|0.0)|0.0,trigrams(x.firstName,y.director)|0.37)|0.0)|0.0,soundex(x.director,y.firstName)|0.37)	a link will be constructed with the condition thatthe firstName of the source and the director of the target have an Overlap similarity of 0% or the directors of the source and the target have a Trigrams similarity of 37% or the firstNames of the source and the target have a Soundex similarity of 0% or the firstName of the source and the director of the target have a Trigrams similarity of 37% or the director of the source and the firstName of the target have a Soundex similarity of 37%
AND(AND(trigrams(x.description,y.description)|0.0,cosine(x.firstName,y.description)|1.0)|0.0,AND(mongeElkan(x.firstName,y.firstName)|0.0,trigrams(x.firstName,y.description)|1.0)|0.0)	a link will be generated on the occasion that the descriptions of the source and the target have a Trigrams similarity of 0% and the firstName of the source and the description of the target have a Cosine similarity of 100% and the firstNames of the source and the target have a Mongeelkan similarity of 0% and the firstName of the source and the description of the target have a Trigrams similarity of 100%
AND(AND(jaccard(x.firstName,y.streetName)|0.45,AND(AND(qgrams(x.firstName,y.streetName)|0.25,mongeElkan(x.streetName,y.streetName)|0.45)|0.45,ratcliff(x.firstName,y.streetName)|0.25)|0.45)|0.45,qgrams(x.streetName,y.streetName)|0.25)	a link will be generated if the firstName of the source and the streetName of the target have a Jaccard similarity of 45% and a Qgrams similarity of 25% and the streetNames of the source and the target have a Mongeelkan similarity of 45% and the firstName of the source and the streetName of the target have a Ratcliff similarity of 25% and the streetNames of the source and the target have a Qgrams similarity of 25%
OR(AND(jaccard(x.givenName,y.director)|0.62,OR(AND(trigrams(x.givenName,y.director)|1.0,overlap(x.director,y.director)|0.62)|0.62,ratcliff(x.givenName,y.director)|1.0)|0.62)|0.62,trigrams(x.director,y.director)|1.0)	a link will be generated if the givenName of the source and the director of the target have a Jaccard similarity of 62% and a Trigrams similarity of 100% and the directors of the source and the target have an Overlap similarity of 62% or the givenName of the source and the director of the target have a Ratcliff similarity of 100% or the directors of the source and the target have a Trigrams similarity of 100%
OR(OR(levenshtein(x.name,y.director)|0.45,OR(OR(qgrams(x.director,y.director)|0.25,ratcliff(x.name,y.name)|0.45)|0.45,qgrams(x.name,y.director)|0.25)|0.45)|0.45,ratcliff(x.director,y.name)|0.25)	a link can be discovered when the name of the source and the director of the target have a Levenshtein similarity of 45% or the directors of the source and the target have a Qgrams similarity of 25% or the names of the source and the target have a Ratcliff similarity of 45% or the name of the source and the director of the target have a Qgrams similarity of 25% or the director of the source and the name of the target have a Ratcliff similarity of 25%
OR(OR(AND(ratcliff(x.givenName,y.givenName)|0.45,AND(OR(mongeElkan(x.description,y.description)|0.37,jaccard(x.description,y.description)|0.37)|0.45,ratcliff(x.description,y.givenName)|0.45)|0.37)|0.37,mongeElkan(x.description,y.givenName)|0.45)|0.45,ratcliff(x.givenName,y.description)|0.37)	a link will be generated if the givenNames of the source and the target have a Ratcliff similarity of 45% or the descriptions of the source and the target have a Mongeelkan similarity or a Jaccard similarity of 37% and the description of the source and the givenName of the target have a Ratcliff similarity or a Mongeelkan similarity of 45% or the givenName of the source and the description of the target have a Ratcliff similarity of 37%
AND(OR(cosine(x.name,y.description)|0.45,AND(OR(qgrams(x.name,y.description)|0.37,levenshtein(x.description,y.description)|0.45)|0.45,ratcliff(x.name,y.description)|0.37)|0.45)|0.45,qgrams(x.description,y.description)|0.37)	a link will be discovered on the assumption that the name of the source and the description of the target have a Cosine similarity of 45% or a Qgrams similarity of 37% or the descriptions of the source and the target have a Levenshtein similarity of 45% and the name of the source and the description of the target have a Ratcliff similarity of 37% and the descriptions of the source and the target have a Qgrams similarity of 37%
AND(AND(cosine(x.givenName,y.movie)|0.45,AND(AND(qgrams(x.givenName,y.movie)|0.37,jaroWinkler(x.movie,y.movie)|0.45)|0.45,ratcliff(x.givenName,y.movie)|0.37)|0.45)|0.45,qgrams(x.movie,y.movie)|0.37)	a link will be generated if the givenName of the source and the movie of the target have a Cosine similarity of 45% and a Qgrams similarity of 37% and the movies of the source and the target have a Jarowinkler similarity of 45% and the givenName of the source and the movie of the target have a Ratcliff similarity of 37% and the movies of the source and the target have a Qgrams similarity of 37%
OR(AND(overlap(x.name,y.streetName)|0.0,OR(AND(qgrams(x.streetName,y.streetName)|1.0,soundex(x.name,y.name)|0.0)|0.0,qgrams(x.name,y.streetName)|1.0)|0.0)|0.0,soundex(x.streetName,y.name)|1.0)	a link will be found whereverthe name of the source and the streetName of the target have an Overlap similarity of 0% and the streetNames of the source and the target have a Qgrams similarity of 100% and the names of the source and the target have a Soundex similarity of 0% or the name of the source and the streetName of the target have a Qgrams similarity of 100% or the streetName of the source and the name of the target have a Soundex similarity of 100%
AND(AND(qgrams(x.givenName,y.givenName)|0.45,AND(AND(levenshtein(x.director,y.director)|1.0,cosine(x.givenName,y.givenName)|0.45)|0.45,qgrams(x.givenName,y.givenName)|1.0)|1.0)|0.45,levenshtein(x.givenName,y.givenName)|1.0)	a link will be created if the givenNames of the source and the target have a Qgrams similarity of 45% and the directors of the source and the target have a Levenshtein similarity of 100% and the givenNames of the source and the target have a Cosine similarity of 45% and a Qgrams similarity and a Levenshtein similarity of a 100%
OR(OR(OR(qgrams(x.firstName,y.firstName)|0.0,AND(OR(jaccard(x.movie,y.movie)|0.25,qgrams(x.firstName,y.firstName)|0.25)|0.0,ratcliff(x.movie,y.movie)|0.0)|0.25)|0.25,levenshtein(x.firstName,y.firstName)|0.0)|0.0,qgrams(x.movie,y.movie)|0.25)	a link will be generated on the occasion that the firstNames of the source and the target have a Qgrams similarity of 0% or the movies of the source and the target have a Jaccard similarity of 25% or the firstNames of the source and the target have a Qgrams similarity of 25% and the movies of the source and the target have a Ratclon the occasion thatf similarity of 0% or the firstNames of the source and the target have a Levenshtein similarity of 0% or the movies of the source and the target have a Qgrams similarity of 25%
AND(OR(cosine(x.givenName,y.streetName)|0.45,AND(OR(trigrams(x.givenName,y.streetName)|0.37,overlap(x.streetName,y.streetName)|0.45)|0.45,soundex(x.givenName,y.streetName)|0.37)|0.45)|0.45,trigrams(x.streetName,y.streetName)|0.37)	a link will be found if the givenName of the source and the streetName of the target have a Cosine similarity of 45% or a Trigrams similarity of 37% or the streetNames of the source and the target have an Overlap similarity of 45% and the givenName of the source and the streetName of the target have a Soundex similarity of 37% and the streetNames of the source and the target have a Trigrams similarity of 37%
OR(OR(cosine(x.name,y.streetName)|0.62,OR(OR(qgrams(x.name,y.streetName)|0.37,mongeElkan(x.streetName,y.streetName)|0.62)|0.62,ratcliff(x.name,y.streetName)|0.37)|0.62)|0.62,qgrams(x.streetName,y.streetName)|0.37)	a link can be made in case thatthe name of the source and the streetName of the target have a Cosine similarity of 62% or a Qgrams similarity of 37% or the streetNames of the source and the target have a Mongeelkan similarity of 62% or the name of the source and the streetName of the target have a Ratcliff similarity of 37% or the streetNames of the source and the target have a Qgrams similarity of 37%
AND(AND(cosine(x.name,y.director)|0.62,AND(AND(qgrams(x.name,y.director)|0.37,mongeElkan(x.director,y.director)|0.62)|0.62,soundex(x.name,y.director)|0.37)|0.62)|0.62,qgrams(x.director,y.director)|0.37)	a link can be built immediately upon the name of the source and the director of the target have a Cosine similarity of 62% and a Qgrams similarity of 37% and the directors of the source and the target have a Mongeelkan similarity of 62% and the name of the source and the director of the target have a Soundex similarity of 37% and the directors of the source and the target have a Qgrams similarity of 37%
OR(OR(AND(ratcliff(x.firstName,y.firstName)|0.62,AND(OR(overlap(x.label,y.label)|1.0,cosine(x.label,y.label)|1.0)|0.62,ratcliff(x.label,y.firstName)|0.62)|1.0)|1.0,overlap(x.label,y.firstName)|0.62)|0.62,ratcliff(x.firstName,y.label)|1.0)	a link will be made if the firstNames of the source and the target have a Ratcliff similarity of 62% or the labels of the source and the target have an Overlap similarity or a Cosine similarity of 100% and the label of the source and the firstName of the target have a Ratcliff similarity or an Overlap similarity of 62% or the firstName of the source and the label of the target have a Ratcliff similarity of 100%
AND(AND(jaroWinkler(x.firstName,y.firstName)|0.0,cosine(x.firstName,y.firstName)|0.25)|0.0,AND(jaroWinkler(x.director,y.director)|0.0,cosine(x.firstName,y.firstName)|0.25)|0.25)	a link can be generated on the occasion thatthe firstNames of the source and the target have a Jarowinkler similarity of 0% and a Cosine similarity of 25% and the directors of the source and the target have a Jarowinkler similarity of 0% and the firstNames of the source and the target have a Cosine similarity of 25%
AND(AND(AND(trigrams(x.title,y.title)|0.62,AND(AND(cosine(x.authors,y.authors)|0.37,trigrams(x.title,y.title)|0.37)|0.62,soundex(x.authors,y.authors)|0.62)|0.37)|0.37,levenshtein(x.title,y.title)|0.62)|0.62,trigrams(x.authors,y.authors)|0.37)	a link will be generated on the occasion that the titles of the source and the target have a Trigrams similarity of 62% and the authors of the source and the target have a Cosine similarity of 37% and the titles of the source and the target have a Trigrams similarity of 37% and the authors of the source and the target have a Soundex similarity of 62% and the titles of the source and the target have a Levenshtein similarity of 62% and the authors of the source and the target have a Trigrams similarity of 37%
AND(AND(ratcliff(x.name,y.name)|0.45,AND(OR(levenshtein(x.name,y.authors)|0.37,cosine(x.name,y.name)|0.45)|0.45,ratcliff(x.name,y.name)|0.37)|0.37)|0.45,levenshtein(x.name,y.name)|0.37)	a link can be generated when the names of the source and the target have a Ratcliff similarity of 45% or the name of the source and the author of the target have a Levenshtein similarity of 37% or the names of the source and the target have a Cosine similarity of 45% and a Ratcliff similarity and a Levenshtein similarity of a 37%
AND(OR(cosine(x.name,y.director)|0.62,AND(OR(qgrams(x.name,y.director)|0.25,levenshtein(x.director,y.director)|0.62)|0.62,soundex(x.name,y.director)|0.25)|0.62)|0.62,qgrams(x.director,y.director)|0.25)	a link will be produced if the name of the source and the director of the target have a Cosine similarity of 62% or a Qgrams similarity of 25% or the directors of the source and the target have a Levenshtein similarity of 62% and the name of the source and the director of the target have a Soundex similarity of 25% and the directors of the source and the target have a Qgrams similarity of 25%
